"Fearow","022","normal","volador","Vista Lince","Francotirador","Memorín","65","90","65","100","61","61","Terratemblor","Tormenta Floral","Ida y Vuelta","Diluvio Corrosivo"
"Ekans","023","veneno","","Intimidación/Mudar","Nerviosismo","Banettita","35","60","44","55","40","54","Constricción","Aguijón Letal","Viento Cortante","Pantalla de Luz"
"Arbok","024","veneno","","Intimidación/Mudar","Nerviosismo","Kommostal Z","60","95","69","80","65","79","Ataque Rápido","Sylveotornado","Doble Patada","Brecha Negra"
"Pikachu","025","electrico","","Elec. Estática","Pararrayos","Pikastal Z","35","55","40","90","50","50","Sincrorruido","Joltioparálisis","Viento Afín","Espada Santa"
"Raichu","026","electrico","","Elec. Estática","Pararrayos","Tarjeta Datos 12","60","90","55","110","90","80","Joya de Luz","Cambia Velocidad","Joltioparálisis","Ventisca"
"Sandshrew","027","tierra","","Velo Arena","Ímpetu Arena","Banettita","50","75","85","40","20","30","Agilidad","Puño Drenaje","Machada","Manto Espejo"
"Sandslash","028","tierra","","Velo Arena","Ímpetu Arena","Revivir Máximo","75","100","110","65","45","55","Luz Lunar","Picoteo","Cara Susto","Paz Mental"
"Nidoran♀","029","veneno","","Punto Tóxico/Rivalidad","Entusiasmo","Tarjeta Datos 19","55","47","52","41","40","40","Aplastamiento Gigalítico","Ojos Llorosos","Disparo Lodo","Acua Cola"
"Nidorina","030","veneno","","Punto Tóxico/Rivalidad","Entusiasmo","Incienso Marino","70","62","67","56","55","55","Somnífero","Doble Patada","Meditación","Poder Pasado"
"Nidoqueen","031","veneno","tierra","Punto Tóxico/Rivalidad","Potencia Bruta","Bola Humo","90","92","87","76","75","85","Viento Afín","Viento Plata","Glaceoprisma","Follaje"
"Nidoran♂","032","veneno","","Punto Tóxico/Rivalidad","Entusiasmo","MT66","46","57","40","50","40","40","Día Soleado","Desarrollo","Humareda","Garra Brutal"
"Nidorino","033","veneno","","Punto Tóxico/Rivalidad","Entusiasmo","Incienso Duplo","61","72","57","65","55","55","Pulso Cura","Danza Lluvia","Carámbano","Fuerza Equina"
"Nidoking","034","veneno","tierra","Punto Tóxico/Rivalidad","Potencia Bruta","Megaancla","81","102","77","85","85","75","Mofa","Estrujón","Cañón Floral","Voltio Cruel"
"Clefairy","035","hada","","Gran Encanto/Muro Mágico","Compiescolta","MT36","70","45","48","35","60","65","Golpe","Flarembestida","Bote","Furia Dragón"
"Clefable","036","hada","","Gran Encanto/Muro Mágico","Ignorante","Megacollar","95","70","73","60","95","90","Tóxico","Impresionar","Polvo Ira","Transformación"
"Vulpix","037","fuego","","Absorbe Fuego","Sequía","Tabla Draco","38","41","40","65","50","65","Pantalla de Humo","Acua Jet","Cabeza de Hierro","Ataque Ala"
"Ninetales","038","fuego","","Absorbe Fuego","Sequía","Tarjeta Libertad","73","76","75","100","81","100","Megapatada","Giro Vil","Bola de Polen","Dulce Aroma"
"Jigglypuff","039","normal","hada","Gran Encanto/Tenacidad","Compiescolta","MT36","115","45","20","20","45","25","Mov. Sísmico","Hipercolmillo","Autodestrucción","Envite Ígneo"
"Wigglytuff","040","normal","hada","Gran Encanto/Tenacidad","Cacheo","Carta Retro","140","70","45","45","85","50","Triataque","Llama Embrujada","Giro Rápido","Tóxico"
"Zubat","041","veneno","volador","Foco Interno","Allanamiento","Maleta","40","45","35","55","30","40","Pin Misil","As Oculto","Aguijón Letal","Sentencia"
"Golbat","042","veneno","volador","Foco Interno","Allanamiento","Amuleto Iris","75","80","70","90","65","75","Bofetón Lodo","Lluevehojas","Última Palabra","Planta Feroz"
"Oddish","043","planta","veneno","Clorofila","Fuga","MO04","45","50","55","30","75","65","Picotazo Ven","Rabia","Corte","Conversión2"
"Gloom","044","planta","veneno","Clorofila","Hedor","Cinturón Negro","60","65","70","40","85","75","Inversión","Isofuerza","Llama Final","Rayo Gélido"
"Vileplume","045","planta","veneno","Clorofila","Efecto Espora","Velocidad X 3","75","80","85","50","110","90","Estímulo","Látigo","Umbreozona","Llama Gélida"
"Paras","046","bicho","planta","Efecto Espora/Piel Seca","Humedad","Baya Guaya","35","70","55","25","45","55","Ayuda","Psicocambio","Gigavoltio Destructor","Machada"
"Parasect","047","bicho","planta","Efecto Espora/Piel Seca","Humedad","Limonada","60","95","80","30","60","80","Eco Voz","Pulso Cura","Rayo Fusión","Hoja Mágica"
"Venonat","048","bicho","veneno","Ojo Compuesto/Cromolente","Fuga","Toxiestrella","60","55","50","45","40","55","Divide Dolor","Megatón Floral","Presa","Látigo Cepa"
"Venomoth","049","bicho","veneno","Polvo Escudo/Cromolente","Piel Milagro","Especial X","70","65","60","90","90","75","Onda Tóxica","Aullido","Espada Santa","Tiro Vital"
"Diglett","050","tierra","","Velo Arena/Trampa Arena","Poder Arena","Baya Gualot","10","55","25","95","35","45","Golpe Kárate","Arrumaco","Esquema","Cola Veneno"
"Dugtrio","051","tierra","","Velo Arena/Trampa Arena","Poder Arena","Amor Ball","35","100","50","120","50","70","Picotazo Ven","Divide Dolor","Golpe Bajo","Puño Mareo"
"Meowth","052","normal","","Recogida/Experto","Nerviosismo","Llamasfera","40","45","35","90","40","40","Campo de Niebla","Afilagarras","Huesomerang","Aguante"
"Persian","053","normal","","Flexibilidad/Experto","Nerviosismo","Ensueño Ball","65","70","60","115","65","65","Rapidez","Pistola Agua","Martillo Dragón","Aguante"
"Psyduck","054","agua","","Humedad/Aclimatación","Nado Rápido","Carta Puerto","50","52","48","55","65","50","Puntada Sombría","Refugio","Ventisca","Lengüetazo"
"Golduck","055","agua","","Humedad/Aclimatación","Nado Rápido","Saco Hollín","80","82","78","85","95","80","Fuego Fatuo","Campana Cura","Guadaña Sedosa","Daño Secreto"
"Mankey","056","lucha","","Espíritu Vital/Irascible","Competitivo","MO08","40","80","35","70","35","45","Isoguardia","Cabeza de Hierro","Campo de Hierba","Deslumbrar"
"Primeape","057","lucha","","Espíritu Vital/Irascible","Competitivo","Saco Bayas","65","105","60","95","60","70","Clavo Cañón","Pistola Agua","Lengüetazo","Tenaza"
"Growlithe","058","fuego","","Intimidación/Absorbe Fuego","Justiciero","Safari Ball","55","70","45","60","70","50","Aullido","Detección","Gigavoltio Destructor","Explosión"
"Arcanine","059","fuego","","Intimidación/Absorbe Fuego","Justiciero","Piedra Oval","90","110","80","95","100","80","Confusión","Megapatada","Barrera Espinosa","Terratemblor"
"Poliwag","060","agua","","Absorbe Agua/Humedad","Nado Rápido","Carta Ola","40","50","40","90","40","40","Electrificación","Canto Arcaico","Mimético","Bilis"
"Poliwhirl","061","agua","","Absorbe Agua/Humedad","Nado Rápido","Emblema Kalos","65","65","65","90","50","50","Golpe Aéreo","Intercambio","Eco Voz","Tormento"
"Poliwrath","062","agua","lucha","Absorbe Agua/Humedad","Nado Rápido","Musgo Brillante","90","95","95","70","70","90","Pulso Umbrío","Escudo Real","Moflete Estático","Chulería"
"Abra","063","psiquico","","Sincronía/Foco Interno","Muro Mágico","Piedra Día","25","20","15","90","105","55","Sol Matinal","Sable Místico","Cometa Draco","Último Lugar"
"Kadabra","064","psiquico","","Sincronía/Foco Interno","Muro Mágico","Carta Pared","40","35","30","105","120","70","Alud","Guillotina","Abatidoras","Paralizador"
"Alakazam","065","psiquico","","Sincronía/Foco Interno","Muro Mágico","Gema Roca","55","50","45","120","135","95","Cháchara","Pico Cañón","Día de Pago","Látigo Cepa"
"Machop","066","lucha","","Agallas/Indefenso","Impasible","Roca Suave","70","80","50","35","35","35","Pisotón","Eevimpacto","Escaramuza","Alboroto"
"Machoke","067","lucha","","Agallas/Indefenso","Impasible","Tiraobjeto","80","100","70","45","50","60","Espeaura","Tierra Viva","Envite Ígneo","Gigadrenado"
"Machamp","068","lucha","","Agallas/Indefenso","Impasible","Car. Naranja","90","130","80","55","65","85","Represión Metal","Chuzos","Trampa Venenosa","Liofilización"
"Bellsprout","069","planta","veneno","Clorofila","Gula","Psicostal Z","50","75","35","40","70","30","Burbuja","Presa","Estruendo","Torbellino"
"Weepinbell","070","planta","veneno","Clorofila","Gula","Sana Ball","65","90","50","55","85","45","Electrotela","Giga Impacto","Taladradora","Deseo"
"Victreebel","071","planta","veneno","Clorofila","Gula","Tarjeta Datos 14","80","105","65","70","100","70","Absorber","Rayo Burbuja","Carga","Pulso Dragón"
"Tentacool","072","agua","veneno","Cuerpo Puro/Lodo Líquido","Cura Lluvia","MT34","40","40","35","70","50","100","Viento Plata","Colmillo Ven","Gigavoltio Destructor","Roca Veloz"
"Tentacruel","073","agua","veneno","Cuerpo Puro/Lodo Líquido","Cura Lluvia","Carta Madera","80","70","65","100","80","120","Chirrido","Aguijón Letal","Red Viscosa","Embargo"
"Geodude","074","roca","tierra","Cabeza Roca/Robustez","Velo Arena","MT63","40","80","100","20","30","30","Condena Silvana","Electropunzada","Sustituto","Espeaura"
"Graveler","075","roca","tierra","Cabeza Roca/Robustez","Velo Arena","Semilla Psique","55","95","115","35","45","45","Chirrido","Pisotón","Deseo","Armadura Ácida"
"Golem","076","roca","tierra","Cabeza Roca/Robustez","Velo Arena","Carta Favoritos","80","120","130","45","55","65","Lanzallamas","Halloween","Zona Extraña","Puño Cometa"
"Ponyta","077","fuego","","Fuga/Absorbe Fuego","Cuerpo Llama","Galleta Yantra","50","85","55","90","65","65","Ataque Ala","Agua Lodosa","Golpe Bis","Pulso Umbrío"
"Rapidash","078","fuego","","Fuga/Absorbe Fuego","Cuerpo Llama","Carta Gracias","65","100","70","105","80","80","Barrena Telúrica","Batido","Puño Fuego","Acua Aro"
"Slowpoke","079","agua","psiquico","Despiste/Ritmo Propio","Regeneración","MT07","90","65","65","15","40","40","Nieve Polvo","Canto Helado","Bola Neblina","Rayo Aurora"
"Slowbro","080","agua","psiquico","Despiste/Ritmo Propio","Regeneración","Baya Yapati","95","75","110","30","100","80","Arañazo","Eructo","Alboroto","Legado"
"Magnemite","081","electrico","acero","Imán/Robustez","Cálculo Final","Baya Acardo","25","35","70","45","95","55","Llama Embrujada","Psicocorte","Foco Energía","Hidrovórtice Abisal"
"Magneton","082","electrico","acero","Imán/Robustez","Cálculo Final","Néctar Amarillo","50","60","95","70","120","70","Treparrocas","Relajo","Zona Extraña","Coraza Trampa"
"Farfetch′d","083","normal","volador","Vista Lince/Foco Interno","Competitivo","Tarjeta Datos 12","52","90","55","60","58","62","Arrumaco","Taladradora","Cometa Draco","Fuerza Telúrica"
"Doduo","084","normal","volador","Fuga/Madrugar","Tumbos","Megabroche","35","85","45","75","35","35","Roca Afilada","Puños Plasma","Aerochorro","Escudo Tatami"
"Dodrio","085","normal","volador","Fuga/Madrugar","Tumbos","Cinta Experto","60","110","70","110","60","60","Machada","Puño Trueno","Sorpresa","Armadura Ácida"
"Seel","086","agua","","Sebo/Hidratación","Gélido","Maleta","65","45","55","45","45","70","Fijar Blanco","Leafitobombas","Rayo Fusión","Protección"
"Dewgong","087","agua","hielo","Sebo/Hidratación","Gélido","Maxipepita","90","70","80","70","70","95","Deseo Oculto","Acupresión","Danza Lluvia","Hipnosis"
"Grimer","088","veneno","","Hedor/Viscosidad","Toque Tóxico","Superpulsera Z","80","80","50","25","40","50","Picadura","Rayo Solar","Avivar","Vastaguardia"
"Muk","089","veneno","","Hedor/Viscosidad","Toque Tóxico","Parte Amarilla","105","105","75","50","65","100","Lanza Mugre","Garra Metal","Fuerza","Viento Feérico"
"Shellder","090","agua","","Caparazón/Encadenado","Funda","Carta Gustos","30","65","100","40","45","25","Empujón","Cerco Dimensión","Estruendo Implacable","Fuego Sagrado"
"Cloyster","091","agua","hielo","Caparazón/Encadenado","Funda","Escama Dragón","50","95","180","70","85","45","Nitrocarga","Brazo Pincho","Cura Floral","Gigadrenado"
"Gastly","092","fantasma","veneno","Levitación","Encadenado","Rapid Ball","30","35","30","80","100","35","Juego Sucio","Avalancha","Cambio Banda","Dragoaliento"
"Haunter","093","fantasma","veneno","Levitación","Encadenado","Diario","45","50","45","95","115","55","Desenrollar","Sorpresa","Brillo Mágico","Esquema"
"Gengar","094","fantasma","veneno","Levitación","","Metagrossita","60","65","60","110","130","75","Gigadrenado","Pistola Agua","Poder Oculto","Mandato"
"Onix","095","roca","tierra","Cabeza Roca/Robustez","Armadura Frágil","Baya Yapati","35","45","160","70","30","45","Rugido de Guerra","Infierno","Tenaza","Látigo Ígneo"
"Drowzee","096","psiquico","","Insomnio/Alerta","Foco Interno","Toxiestrella","60","48","45","42","43","90","Chulería","Carantoña","Psicocolmillo","Ojos Llorosos"
"Hypno","097","psiquico","","Insomnio/Alerta","Foco Interno","Chapa Dorada","85","73","70","67","73","115","Llave Corsé","Dulce Aroma","Mov. Espejo","Espora"
"Krabby","098","agua","","Corte Fuerte/Caparazón","Potencia Bruta","Malla Ball","30","105","90","50","25","25","Maquinación","Bote","Roca Afilada","Truco Defensa"
"Kingler","099","agua","","Corte Fuerte/Caparazón","Potencia Bruta","Diamansfera","55","130","115","75","50","50","Golpe Aéreo","Electrocañón","Atadura","Rizo Algodón"
"Voltorb","100","electrico","","Insonorizar/Elec. Estática","Detonación","Iris-Ticket","40","30","50","100","55","55","Cuchilla Solar","Alarido","Luz Lunar","Hipercolmillo"
"Electrode","101","electrico","","Insonorizar/Elec. Estática","Detonación","Pokéseñuelo","60","50","70","150","80","80","Desarrollo","Torm. Diamantes","Lluevehojas","Bote"
"Exeggcute","102","planta","psiquico","Clorofila","Cosecha","MT62","60","40","80","40","60","45","Hecatombe Pírica","Red Viscosa","Núcleo Castigo","Silbato"
"Exeggutor","103","planta","psiquico","Clorofila","Cosecha","Audinita","95","95","85","55","125","75","Patada Tropical","Eco Voz","Escaramuza","Latigazo"
"Cubone","104","tierra","","Cabeza Roca/Pararrayos","Armadura Batalla","Tabla Llama","50","50","95","35","40","50","Isofuerza","Viento Feérico","Acua Cola","Tenaza"
"Marowak","105","tierra","","Cabeza Roca/Pararrayos","Armadura Batalla","MT75","60","80","110","45","50","80","Tormenta Arena","Isofuerza","Deslumbrar","Humareda"
"Hitmonlee","106","lucha","","Flexibilidad/Audaz","Liviano","Piedra Trueno","50","120","53","87","35","110","Truco Fuerza","Camelo","Arrumaco Sideral","Látigo Ígneo"
"Hitmonchan","107","lucha","","Vista Lince/Puño Férreo","Foco Interno","Gema Agua","50","105","79","76","35","110","Hilo Venenoso","Chulería","Excavar","Shuriken de Agua"
"Lickitung","108","normal","","Ritmo Propio/Despiste","Aclimatación","Blanco","90","55","75","30","60","75","Trapicheo","Telépata","Anegar","Truco Defensa"
"Koffing","109","veneno","","Levitación","Despiste","Garra Garfio","40","65","95","35","60","45","Avalancha","Fuego Fatuo","Disruptor Psíquico","Cola Veneno"
"Weezing","110","veneno","","Levitación","Despiste","Ámbar Viejo","65","90","120","60","85","70","Espora","Relajo","Anulación","Onda Mental"
"Rhyhorn","111","tierra","roca","Pararrayos/Cabeza Roca","Audaz","Precisión X 2","80","85","95","25","30","30","Fuerza Equina","Patada Ígnea","Núcleo Castigo","Cerrojo Feérico"
"Rhydon","112","tierra","roca","Pararrayos/Cabeza Roca","Audaz","Franja Recia","105","130","120","40","45","45","Barrena Telúrica","Avivar","Poder Reserva","Cuerpo Pesado"
"Chansey","113","normal","","Cura Natural/Dicha","Alma Cura","Incienso Roca","250","5","5","50","35","105","Danza Pétalo","Romperrocas","Doble Filo","Danza Aleteo"
"Tangela","114","planta","","Clorofila/Defensa Hoja","Regeneración","MT29","65","55","115","60","100","40","Síntesis","Hilo Venenoso","Gravedad","Nieve Polvo"
"Kangaskhan","115","normal","","Madrugar/Intrépido","Foco Interno","Precisión X 6","105","95","80","90","40","80","Sombra Vil","Lengüetazo","Psicoonda","Picotazo Ven"
"Horsea","116","agua","","Nado Rápido/Francotirador","Humedad","Baya Yecana","30","40","70","60","70","25","Aromaterapia","Corte","Enfado","Cascada"
"Seadra","117","agua","","Punto Tóxico/Francotirador","Humedad","Iris-Ticket","55","65","95","85","95","45","Llama Final","Electrocañón","Tragar","Bomba Imán"
"Goldeen","118","agua","","Nado Rápido/Velo Agua","Pararrayos","Baya Peragu","45","67","60","63","35","50","Truco Defensa","Ascuas","Anillo Ígneo","Sombra Vil"
"Seaking","119","agua","","Nado Rápido/Velo Agua","Pararrayos","Mewtwoita X","80","92","65","68","65","80","Clavo Cañón","Bostezo","Onda Certera","Fijar Blanco"
"Staryu","120","agua","","Iluminación/Cura Natural","Cálculo Final","Poción","30","45","55","85","70","55","Viento Afín","Cólera del Guardián","Shuriken de Agua","Confidencia"
"Starmie","121","agua","psiquico","Iluminación/Cura Natural","Cálculo Final","Habilitador","60","75","85","115","100","85","Sincrorruido","Puya Nociva","Pikapicado","Respiro"
"Mr. Mime","122","psiquico","hada","Insonorizar/Filtro","Experto","Disco Eléctrico","40","45","65","90","100","120","Veneno X","Eructo","Brazo Pincho","Bola Hielo"
"Scyther","123","bicho","volador","Enjambre/Experto","Impasible","Def. Especial X","70","110","80","105","55","80","Rapidez","Copión","Isofuerza","Cascada"
"Jynx","124","hielo","psiquico","Despiste/Alerta","Piel Seca","Llave Ascensor","65","50","35","95","115","95","Tenaza","Salmuera","Envite Ígneo","Al Ataque"
"Electabuzz","125","electrico","","Elec. Estática","Espíritu Vital","Colmillo Agudo","65","83","57","105","95","85","Disparo Espejo","Mov. Espejo","Machada","Meteoimpacto"
"Magmar","126","fuego","","Cuerpo Llama","Espíritu Vital","MT100","65","95","57","93","100","85","Onda Mental","Niebla Aromática","Cola Veneno","Martillazo"
"Pinsir","127","bicho","","Corte Fuerte/Rompemoldes","Autoestima","Especial X 2","65","125","100","85","55","70","Copión","Viento Hielo","Núcleo Castigo","Yo Primero"
"Tauros","128","normal","","Intimidación/Irascible","Potencia Bruta","MT70","75","100","95","110","40","70","Aguante","Finta","Ala Mortífera","Arañazo"
"Magikarp","129","agua","","Nado Rápido","Cobardía","MT45","20","10","55","80","15","20","Sumisión","Follaje","Cola Veneno","Hiperrayo"
"Gyarados","130","agua","volador","Intimidación","Autoestima","MT01","95","125","79","81","60","100","Pulso Umbrío","Bola Voltio","Onda Voltio","Sable Místico"
"Lapras","131","agua","hielo","Absorbe Agua/Caparazón","Hidratación","Baya Algama","130","85","80","60","85","95","Lanzamiento","Coraza Trampa","Trapicheo","Barrera"
"Ditto","132","normal","","Flexibilidad","Impostor","Cupón Amistad","48","48","48","48","48","48","Cascada","Ataque Fulgor","Bomba Ácida","Tormenta Arena"
"Eevee","133","normal","","Fuga/Adaptable","Anticipación","Abono Fructífero","55","55","50","55","45","65","Hilo Venenoso","Último Lugar","Llanto Falso","Rencor"
"Vaporeon","134","agua","","Absorbe Agua","Hidratación","Baya Payapa","130","65","60","65","110","95","Electropunzada","Hidroariete","Infierno","Drenadoras"
"Jolteon","135","electrico","","Absorbe Elec","Pies Rápidos","Ensueño Ball","65","65","60","130","110","95","Conversión2","Cola Dragón","Salpikasurf","Bomba Lodo"
"Flareon","136","fuego","","Absorbe Fuego","Agallas","Perla Grande","65","130","60","65","95","110","Pirotecnia","Inversión","Gas Venenoso","Llamarada"
"Porygon","137","normal","","Rastro/Descarga","Cálculo Final","Ticket Barco","65","60","70","40","85","75","Contoneo","Gruñido","Triataque","Carga Dragón"
"Omanyte","138","roca","agua","Nado Rápido/Caparazón","Armadura Frágil","PP Máximos","35","40","100","35","90","55","Campana Cura","Disruptor Psíquico","Presente","Aerochorro"
"Omastar","139","roca","agua","Nado Rápido/Caparazón","Armadura Frágil","Fósil Pluma","70","60","125","55","115","70","Psicoonda","Anillo Ígneo","Onda Voltio","Pantalla de Luz"
"Kabuto","140","roca","agua","Nado Rápido/Armadura Batalla","Armadura Frágil","Baya Magua","30","80","90","55","55","45","Disparo Espejo","Lluevehojas","Refuerzo","Sable Místico"
"Kabutops","141","roca","agua","Nado Rápido/Armadura Batalla","Armadura Frágil","Diancita","60","115","105","80","65","70","Fuerza","Bomba Huevo","Celebración","Robasombra"
"Aerodactyl","142","roca","volador","Cabeza Roca/Presión","Nerviosismo","Lupa","80","105","65","130","60","75","Treparrocas","Paranormal","Truco","Psicocorte"
"Snorlax","143","normal","","Inmunidad/Sebo","Gula","Concha Cardumen","160","110","65","30","65","110","Amago","Amago","Viento Plata","Aire Afilado"
"Articuno","144","hielo","volador","Presión","Manto Níveo","Precisión X 6","90","85","100","85","95","125","Condena Silvana","Niebla","Mil Temblores","Escaldar"
"Zapdos","145","electrico","volador","Presión","Pararrayos","Flauta Eón","90","90","85","100","125","90","Afilar","Sincrorruido","Ataque Furia","Pikapicado"
"Moltres","146","fuego","volador","Presión","Cuerpo Llama","MT84","90","100","90","90","125","85","Picotazo","Recuperación","Picotazo","Camaradería"
"Dratini","147","dragon","","Mudar","Escama Especial","Alo-Raistal Z","41","64","45","50","50","50","Ida y Vuelta","Danza Espada","Picoteo","Magnitud"
"Dragonair","148","dragon","","Mudar","Escama Especial","Cupón 2","61","84","65","70","70","70","Psicorrayo","Destructor","Tempestad Rocosa","Desenrollar"
"Dragonite","149","dragon","volador","Foco Interno","Multiescamas","Baya Alcho","91","134","95","80","100","100","Avalancha","Tempestad Rocosa","Velo Sagrado","Chapoteo Lodo"
"Mewtwo","150","psiquico","","Presión","Nerviosismo","Baya Enigma","106","110","90","130","154","90","Puños Plasma","Resplandor","Voto Fuego","Beso Dulce"
"Mew","151","psiquico","","Sincronía","Nerviosismo","Carta Favoritos","100","100","100","100","100","100","Pájaro Osado","Arrumaco Sideral","Otra Vez","Furia Dragón"
"Chikorita","152","planta","","Espesura","Defensa Hoja","MT27","45","49","65","45","49","65","Retribución","Nitrocarga","Metrónomo","Corte"
"Bayleef","153","planta","","Espesura","Defensa Hoja","MT78","60","62","80","60","63","80","Golpe Fantasma","Brillo Mágico","Hierba Lazo","Maquinación"
"Meganium","154","planta","","Espesura","Defensa Hoja","Car. Corazón","80","82","100","80","83","100","Cuchillada","Lluvia Ígnea","Pikavoltio Letal","Pico Taladro"
"Cyndaquil","155","fuego","","Mar Llamas","Absorbe Fuego","Ampharosita","39","52","43","65","60","50","Ascuas","Puño Incremento","Triataque","Telaraña"
"Quilava","156","fuego","","Mar Llamas","Absorbe Fuego","Zahorí","58","64","58","80","80","65","Picoteo","Colmillo Ígneo","Bola Sombra","Cambia Defensa"
"Typhlosion","157","fuego","","Mar Llamas","Absorbe Fuego","Barrita Plus","78","84","78","100","109","85","Corpulencia","Carga Parábola","Escaldar","Triturar"
"Totodile","158","agua","","Torrente","Potencia Bruta","MT01","50","65","64","43","44","48","Ladrón","Afilar","Giro Vil","Fuerza Bruta"
"Croconaw","159","agua","","Torrente","Potencia Bruta","MT01","65","80","80","58","59","63","Alivio","Impresionar","Acua Aro","Furia Natural"
"Feraligatr","160","agua","","Torrente","Potencia Bruta","Gafas de Sol","85","105","100","78","79","83","Finta","Agua Lodosa","Cuerpo Pesado","Tormenta Floral"
"Sentret","161","normal","","Fuga/Vista Lince","Cacheo","Imán","35","46","34","20","35","45","Silbato","Fuerza Lunar","Polución","Chupavidas"
"Furret","162","normal","","Fuga/Vista Lince","Cacheo","Pokéseñuelo","85","76","64","90","45","55","Onda Vacío","Imagen","Enfado","Esporagodón"
"Hoothoot","163","normal","volador","Insomnio/Vista Lince","Cromolente","MT74","60","30","30","50","36","56","Yo Primero","Mismo Destino","Tierra Viva","Hoja Afilada"
"Noctowl","164","normal","volador","Insomnio/Vista Lince","Cromolente","Baya Hibis","100","50","50","70","86","96","Carrera Arrolladora","Paralizador","Piñón Auxiliar","Hipercolmillo"
"Ledyba","165","bicho","volador","Enjambre/Madrugar","Cobardía","Tarjeta Datos 26","40","20","30","55","40","80","Aire Afilado","Foco Resplandor","Chapoteo Lodo","Fortaleza"
"Ledian","166","bicho","volador","Enjambre/Madrugar","Puño Férreo","Tapistal Z","55","35","50","85","55","110","Recuperación","Estoicismo","Furia Natural","Paga Extra"
"Spinarak","167","bicho","veneno","Enjambre/Insomnio","Francotirador","Escama Marina","40","60","40","30","40","40","Bomba Germen","Ayuda","Dracoaliento Devastador","Agarre"
"Ariados","168","bicho","veneno","Enjambre/Insomnio","Francotirador","Colmillo Agudo","70","90","70","40","60","70","Ida y Vuelta","Bomba Sónica","Cede Paso","Lluvia Ígnea"
"Crobat","169","veneno","volador","Foco Interno","Allanamiento","Quitaestado","85","90","80","130","70","80","Ataque Ala","Chirrido","Purificación","Amago"
"Chinchou","170","agua","electrico","Absorbe Elec/Iluminación","Absorbe Agua","Baya Chiri","75","38","38","67","56","56","Auxilio","Bomba Sónica","Géiser Fotónico","Dracoaliento Devastador"
